"sport","height_converted","weight","age","female","color","symbol","height"
"archery",71,190,27.7917808219178,0,"#E41A1C","15",71
"archery",70,140,21.3424657534247,0,"#E41A1C","15",70
"archery",71,165,21.4109589041096,1,"#E41A1C","15",71
"badminton",68,200,22.2383561643836,0,"#377EB8","15",68
"badminton",71,155,26.2630136986301,0,"#377EB8","15",71
"badminton",73,165,25.7041095890411,0,"#377EB8","15",73
"badminton",66,130,30.0164383561644,1,"#377EB8","15",66
"badminton",63,128,31.4027397260274,1,"#377EB8","15",63
"badminton",64,128,26.6575342465753,1,"#377EB8","15",64
"badminton",63,115,21.9397260273973,1,"#377EB8","15",63
"basketball",80,230,32.2082191780822,0,"#4DAF4A","15",80
"basketball",80,225,24.2,0,"#4DAF4A","15",80
"basketball",79,220,26.9095890410959,0,"#4DAF4A","15",79
"basketball",83,270,25.9972602739726,0,"#4DAF4A","15",83
"basketball",79,220,27.013698630137,0,"#4DAF4A","15",79
"basketball",81,230,27.8684931506849,0,"#4DAF4A","15",81
"basketball",81,220,26.2794520547945,0,"#4DAF4A","15",81
"basketball",75,193,24.386301369863,0,"#4DAF4A","15",75
"basketball",83,265,28.0602739726027,0,"#4DAF4A","15",83
"basketball",72,250,30.386301369863,0,"#4DAF4A","15",72
"basketball",73,165,32.2876712328767,1,"#4DAF4A","15",73
"basketball",69,147,35.827397260274,1,"#4DAF4A","15",69
"basketball",74,170,37.0684931506849,1,"#4DAF4A","15",74
"basketball",75,195,27.6849315068493,1,"#4DAF4A","15",75
"basketball",77,190,26.9342465753425,1,"#4DAF4A","15",77
"basketball",78,200,30.8520547945205,1,"#4DAF4A","15",78
"basketball",80,208,25.8164383561644,1,"#4DAF4A","15",80
"basketball",73,155,29.9232876712329,1,"#4DAF4A","15",73
"basketball",72,175,27.1698630136986,1,"#4DAF4A","15",72
"basketball",76,175,21.9561643835616,1,"#4DAF4A","15",76
"basketball",72,155,34.1753424657534,1,"#4DAF4A","15",72
"basketball",69,160,34.2657534246575,1,"#4DAF4A","15",69
"boxing",69,165,18.7698630136986,0,"#984EA3","15",69
"boxing",65,108,20.6,0,"#984EA3","15",65
"boxing",68,141,20.1561643835616,0,"#984EA3","15",68
"boxing",68,123,19.1178082191781,0,"#984EA3","15",68
"boxing",66,114,19.986301369863,0,"#984EA3","15",66
"boxing",69,132,26.1068493150685,1,"#984EA3","15",69
"boxing",69,165,21.4027397260274,1,"#984EA3","15",69
"canoe kayak",70,170,26.7397260273973,0,"#FF7F00","15",70
"canoe kayak",70,170,31.8383561643836,0,"#FF7F00","15",70
"canoe kayak",71,155,22.9095890410959,0,"#FF7F00","15",71
"canoe kayak",64,120,27.158904109589,1,"#FF7F00","15",64
"canoe kayak",67,135,37.6191780821918,1,"#FF7F00","15",67
"cycling",72,195,23.9068493150685,0,"#FFFF33","16",72
