sport,name,gender,height,weight,dob
archery,Brady Ellison,M,5-11,190,10/27/1988
archery,Zach Garrett,M,5-10,140,4/8/1995
archery,Jake Kaminski,M,,158,
archery,Mackenzie Brown,W,5-11,165,3/14/1995
badminton,Phillip Chew,M,5-8,200,5/16/1994
badminton,Sattawat Pongnairat,M,5-11,155,5/8/1990
badminton,Howard Shu,M,6-1,165,11/28/1990
badminton,Eva Lee,W,5-6,130,8/7/1986
badminton,Paula Lynn Obanana,W,5-3,128,3/19/1985
badminton,Jamie Subandhi,W,5-4,128,12/15/1989
badminton,Iris Wang,W,5-3,115,9/2/1994
basketball,Carmelo Anthony,M,6-8,230,5/29/1984
basketball,Harrison Barnes,M,6-8,225,5/30/1992
basketball,Jimmy Butler,M,6-7,220,9/14/1989
basketball,DeMarcus Cousins,M,6-11,270,8/13/1990
basketball,DeMar DeRozan,M,6-7,220,8/7/1989
basketball,Kevin Durant,M,6-9,230,9/29/1988
basketball,Paul George,M,6-9,220,5/2/1990
basketball,Draymond Green,M,6-7,,
basketball,Kyrie Irving,M,6-3,193,3/23/1992
basketball,DeAndre Jordan,M,6-11,265,7/21/1988
basketball,Kyle Lowry,M,6-0,250,3/25/1986
basketball,Klay Thompson,M,,,
basketball,Seimone Augustus,W,6-1,165,4/30/1984
basketball,Sue Bird,W,5-9,147,10/16/1980
basketball,Tamika Catchings,W,6-2,170,7/21/1979
basketball,Tina Charles,W,6-3,195,12/5/1988
basketball,Elena Delle Donne,W,6-5,190,9/5/1989
basketball,Sylvia Fowles,W,6-6,200,10/6/1985
basketball,Brittney Griner,W,6-8,208,10/18/1990
basketball,Angel McCoughtry,W,6-1,155,9/10/1986
basketball,Maya Moore,W,6-0,175,6/11/1989
basketball,Breanna Stewart,W,6-4,175,8/27/1994
basketball,Diana Taurasi,W,6-0,155,6/11/1982
basketball,Lindsay Whalen,W,5-9,160,5/9/1982
boxing,"Carlos Balderas, Jr.",M,5-9,132,8/24/1996
boxing,Charles Conwell,M,5-9,165,11/2/1997
boxing,Nico Hernandez,M,5-5,108,1/4/1996
boxing,Gary Russell,M,5-8,141,6/14/1996
boxing,Shakur Stevenson,M,5-8,123,6/28/1997
boxing,Antonio Vargas,M,5-6,114,8/15/1996
boxing,Mikaela Mayer,W,5-9,132,7/4/1990
boxing,Claressa Shields,W,5-9,165,3/17/1995
canoe kayak,Casey Eichfeld,M,5-10,170,11/15/1989
canoe kayak,Devin McEwan,M,5-10,170,10/11/1984
canoe kayak,Michal Smolen,M,5-11,155,9/13/1993
canoe kayak,Ashley Nee,W,5-4,120,6/15/1989
canoe kayak,Maggie Hogan,W,5-7,135,1/1/1979
cycling,Connor Fields,M,6-0,195,9/14/1992
cycling,Nic Long,M,6-2,190,10/6/1989
cycling,Alise Post,M,5-2,125,1/17/1991
cycling,Brooke Crain,M,5-4,123,4/29/1993
cycling,Howard Grotts,W,5-7,130,1/12/1993
cycling,Lea Davison,M,5-6,122,5/19/1983
cycling,Chloe Woodruff ,M,5-2,113,7/21/1987
cycling,Matt Baranoski,W,6-0,212,7/27/1993
cycling,Bobby Lea,W,6-2,170,10/17/1983
cycling,Brent Bookwalter,W,5-11,150,2/16/1984
cycling,Taylor Phinney,W,6-5,180,6/27/1990
cycling,Kelly Catlin,NA,5-6,"140",11/3/1995
cycling,Sarah Hammer,NA,5-7,145,8/18/1983
cycling,Chloe Dygert,NA,5-9,147,1/1/1997
