"Age","Height","Weight","Female","Gold","Silver","Bronze","Total","Sport","Event","Color","Symbol","kfold1","kfold2","kfold3","kfold4","kfold5","kfold6","kfold7","kfold8","kfold9","kfold10"
23,170,60,0,0,0,0,0,"Judo","Men's -60kg","#E41A1C","17",6,6,2,9,5,3,3,3,3,6
33,193,125,0,0,0,0,0,"Athletics","Men's Hammer Throw","#377EB8","15",3,5,3,6,1,7,5,7,6,2
30,187,76,0,0,0,0,0,"Athletics","Men's 1500m","#377EB8","15",9,1,7,2,7,2,8,6,6,5
26,178,85,1,0,0,0,0,"Athletics","Women's Javelin Throw","#377EB8","15",8,6,5,6,2,9,10,1,1,7
27,182,80,0,0,0,0,0,"Handball","Men's Handball","#FFFF33","16",1,7,7,6,8,8,1,3,7,3
30,182,73,1,0,0,0,0,"Rowing","Women's Pair","#4DAF4A","17",6,1,10,3,9,4,6,3,5,10
23,187,75,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",8,2,8,2,7,4,2,6,10,5
27,190,80,0,0,0,0,0,"Athletics","Men's 110m Hurdles","#377EB8","15",8,6,9,2,6,9,5,3,5,7
28,173,60,1,0,0,0,0,"Rowing","Women's Single Sculls","#4DAF4A","17",10,6,6,6,1,8,5,1,9,6
28,171,64,1,0,0,0,0,"Water Polo","Women's Water Polo","#984EA3","18",3,8,9,9,2,1,4,1,4,1
22,171,62,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",9,7,4,2,9,1,1,1,1,3
22,175,63,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",9,1,1,5,7,9,5,4,3,3
25,162,69,0,0,0,0,0,"Weightlifting","Men's 69kg","#FF7F00","18",8,4,2,4,7,5,3,2,10,3
25,175,85,0,0,0,0,0,"Weightlifting","Men's 85kg","#FF7F00","18",9,6,9,6,7,2,7,6,2,1
26,171,60,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A","18",8,9,4,7,3,7,4,1,3,5
34,177,66,0,0,0,0,0,"Athletics","Men's 3000m Steeplechase","#377EB8","15",5,2,1,2,1,4,9,6,10,9
35,180,61,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8","15",7,9,7,1,4,10,1,2,2,4
26,165,55,1,0,0,0,0,"Athletics","Women's 100m","#377EB8","15",10,2,10,3,4,10,4,10,10,7
21,170,47,1,0,0,0,0,"Athletics","Women's 5000m","#377EB8","15",4,10,1,3,7,3,4,9,10,3
34,173,84,0,0,0,0,0,"Wrestling","Men's 84kg Freestyle","#FFFF33","18",7,1,5,10,1,1,2,1,2,1
22,170,66,0,0,0,0,0,"Wrestling","Men's 66kg Greco-Roman","#FFFF33","18",8,5,7,8,6,7,10,5,5,4
27,179,82,0,0,0,0,0,"Fencing","Men's Individual Sabre","#984EA3","16",4,5,5,8,9,9,1,8,1,5
20,160,62,1,0,0,1,1,"Diving","Women's 3m Springboard, Women's Synchronised 3m Springboard","#377EB8","16",1,4,9,4,3,10,4,5,9,8
27,177,78,0,0,0,0,0,"Badminton","Men's Singles","#4DAF4A","15",10,2,6,7,1,2,4,1,10,6
24,173,53,1,0,0,0,0,"Athletics","Women's Pole Vault","#377EB8","15",2,9,10,1,2,8,4,8,8,8
27,168,60,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",8,8,8,10,2,3,9,10,5,10
25,159,54,1,0,0,0,0,"Athletics","Women's 4 x 400m Relay","#377EB8","15",7,6,10,6,8,1,8,7,3,7
20,162,75,1,0,0,0,0,"Weightlifting","Women's 75kg","#FF7F00","18",6,2,3,4,8,5,7,3,7,10
17,170,53,1,0,0,0,0,"Athletics","Women's 4 x 400m Relay","#377EB8","15",4,1,2,2,8,10,6,9,7,6
23,166,68,1,0,0,0,0,"Swimming","Women's 50m Freestyle","#FFFF33","17",7,3,5,8,1,2,9,2,9,4
31,180,64,0,0,0,0,0,"Athletics","Men's 5000m","#377EB8","15",2,6,1,4,10,10,7,1,1,8
23,152,58,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",6,2,3,2,3,8,7,3,5,8
21,188,82,0,0,1,0,1,"Fencing","Men's Individual Foil, Men's Team Foil","#984EA3","16",5,6,2,9,10,8,1,1,6,1
18,153,55,0,0,0,0,0,"Wrestling","Men's 55kg Greco-Roman","#FFFF33","18",9,5,1,6,9,3,10,10,7,5
33,182,77,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",6,6,1,8,10,1,2,3,8,3
25,184,78,0,0,0,0,0,"Athletics","Men's 200m","#377EB8","15",2,5,9,5,6,8,6,10,3,8
22,172,70,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",8,8,10,10,3,3,10,7,6,7
34,158,47,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",7,5,10,7,3,4,4,6,6,4
22,162,50,1,0,0,0,0,"Cycling","Women's Cross-country","#E41A1C","16",10,1,7,9,7,1,9,2,8,1
31,180,68,0,0,0,0,0,"Cycling","Men's Cross-country","#E41A1C","16",8,2,7,2,10,10,4,7,9,8
21,168,62,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8","15",3,9,2,6,8,4,3,8,8,8
28,168,62,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8","15",9,9,5,5,6,7,6,2,7,7
28,172,72,0,0,0,0,0,"Judo","Men's -73kg","#E41A1C","17",10,6,8,8,10,4,2,10,4,1
31,175,58,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8","18",3,5,8,4,2,7,1,9,4,1
29,208,110,0,0,0,0,0,"Basketball","Men's Basketball","#984EA3","15",8,5,1,7,2,4,10,8,2,2
31,172,80,0,0,0,0,0,"Shooting","Men's Skeet","#FF7F00","17",2,9,4,8,5,10,3,7,9,1
24,167,52,1,0,0,0,0,"Athletics","Women's 1500m","#377EB8","15",10,6,10,3,5,5,7,4,4,7
