method,time,accuracy
dtree,4.933503952,0.07862679955703211
dtree,4.735844137,0.07198228128460686
dtree,4.677728028,0.07973421926910298
dtree,4.900466954,0.07751937984496124
dtree,4.581571395,0.07973421926910298
dtree,4.525378258,0.0753045404208195
dtree,4.553758554,0.07419712070874862
dtree,4.576206179,0.07973421926910298
dtree,4.593900838,0.08527131782945736
dtree,4.563929199,0.08416389811738649
dtree,4.612987347,0.07862679955703211
dtree,4.955432839,0.08859357696567
dtree,4.596125886,0.08305647840531562
dtree,4.549214939,0.07198228128460686
dtree,4.586880458,0.09302325581395349
dtree,4.574720147,0.08305647840531562
dtree,4.633496624,0.09302325581395349
dtree,4.616779673,0.08748615725359911
dtree,4.563064294,0.08194905869324474
dtree,4.528237018,0.08305647840531562
dtree,4.532431097,0.08970099667774087
dtree,4.559801486,0.06976744186046512
dtree,4.544015891,0.08637873754152824
dtree,4.552951552,0.10741971207087486
dtree,4.576901925,0.06976744186046512
dtree,4.544378387,0.07198228128460686
dtree,4.56392992,0.09191583610188261
dtree,4.57907559,0.07862679955703211
dtree,4.555341955,0.07973421926910298
dtree,4.73947529,0.10077519379844961
dtree,5.147565497,0.07641196013289037
dtree,5.039852523,0.08970099667774087
dtree,4.568768023,0.08637873754152824
dtree,4.572211307,0.06976744186046512
dtree,4.568129885,0.09302325581395349
dtree,4.614944372,0.08305647840531562
dtree,4.511005608,0.07308970099667775
dtree,4.520838073,0.08194905869324474
dtree,4.536490726,0.09080841638981174
dtree,4.506359446,0.07862679955703211
dtree,4.504999323,0.07862679955703211
dtree,4.543289184,0.08637873754152824
dtree,5.132483393,0.08527131782945736
dtree,5.639753228,0.0753045404208195
dtree,5.538536955,0.06755260243632337
dtree,4.7255053,0.08194905869324474
dtree,4.514357648,0.07862679955703211
dtree,4.603015894,0.07641196013289037
dtree,4.586180878,0.09634551495016612
dtree,4.542459523,0.08194905869324474
dtree,4.524913161,0.09745293466223699
dtree,4.622131151,0.07198228128460686
dtree,4.552204978,0.08084163898117387
dtree,4.445206697,0.08637873754152824
dtree,4.578097124,0.08084163898117387
dtree,4.573008741,0.08305647840531562
dtree,4.59019767,0.07419712070874862
dtree,4.550197694,0.08194905869324474
dtree,4.57168053,0.08416389811738649
dtree,4.504166764,0.0753045404208195
dtree,4.475830581,0.09302325581395349
dtree,4.554727833,0.08859357696567
dtree,4.56444943,0.06090808416389812
dtree,4.505590105,0.09745293466223699
dtree,4.487011224,0.08194905869324474
dtree,4.554792973,0.07973421926910298
dtree,4.532030949,0.09745293466223699
dtree,4.492012679,0.07641196013289037
dtree,4.563050878,0.09191583610188261
dtree,4.572268732,0.07308970099667775
dtree,4.592144687,0.07862679955703211
dtree,4.5305662,0.07419712070874862
dtree,4.504055867,0.07862679955703211
dtree,4.584512089,0.07087486157253599
dtree,4.523041551,0.07308970099667775
dtree,4.48407771,0.09302325581395349
dtree,4.542720978,0.06976744186046512
dtree,4.568663508,0.08527131782945736
dtree,4.524384984,0.07751937984496124
dtree,4.499590955,0.08084163898117387
dtree,4.533809062,0.06090808416389812
dtree,4.495851789,0.09080841638981174
dtree,4.47432854,0.07641196013289037
dtree,4.659606397,0.06312292358803986
dtree,4.553988828,0.07641196013289037
dtree,4.510175691,0.07087486157253599
dtree,4.54895841,0.08970099667774087
dtree,4.540903269,0.07641196013289037
dtree,4.473989469,0.09191583610188261
dtree,4.496287149,0.07862679955703211
kmeans,57.237975711,0.021040974529346623
kmeans,12.931427639,0.018826135105204873
kmeans,10.650867139,0.02547065337763012
kmeans,57.143172621,0.013289036544850499
kmeans,17.696863626,0.018826135105204873
kmeans,62.352434977,0.017718715393133997
kmeans,57.009813732,0.046511627906976744
kmeans,10.790040451,0.015503875968992248
kmeans,60.66721081,0.053156146179401995
kmeans,10.812931138,0.024363233665559248
kmeans,60.664428196,0.05758582502768549
kmeans,55.743714235,0.024363233665559248
kmeans,57.052077839,0.014396456256921373
kmeans,17.616075874,0.018826135105204873
kmeans,57.140150336,0.017718715393133997
kmeans,56.853581845,0.016611295681063124
kmeans,57.719205014,0.013289036544850499
kmeans,60.669993634,0.031007751937984496
kmeans,56.963960586,0.059800664451827246
kmeans,56.842216472,0.009966777408637873
kmeans,62.221878692,0.021040974529346623
kmeans,62.11741898,0.06090808416389812
kmeans,60.38225776,0.029900332225913623
kmeans,64.44402164,0.03322259136212625
kmeans,61.465044556,0.021040974529346623
kmeans,61.213763151,0.019933554817275746
kmeans,14.404269702,0.024363233665559248
kmeans,19.239120467,0.04318936877076412
kmeans,61.848128745,0.015503875968992248
kmeans,56.650932587,0.03211517165005537
kmeans,56.481555686,0.016611295681063124
kmeans,57.031633635,0.0221483942414175
kmeans,62.727072564,0.017718715393133997
kmeans,62.063181301,0.017718715393133997
kmeans,56.83329079,0.044296788482835
kmeans,61.912319204,0.046511627906976744
kmeans,60.281742702,0.026578073089700997
kmeans,61.890562564,0.036544850498338874
kmeans,64.147552583,0.0221483942414175
kmeans,61.028216464,0.05426356589147287
kmeans,56.508646981,0.016611295681063124
kmeans,61.786946192,0.019933554817275746
kmeans,12.496402343,0.023255813953488372
kmeans,59.640099785,0.02547065337763012
kmeans,61.698671949,0.017718715393133997
kmeans,56.382430332,0.029900332225913623
kmeans,59.795135544,0.0221483942414175
kmeans,61.581800506,0.04540420819490587
kmeans,16.223899478,0.018826135105204873
kmeans,57.258081351,0.015503875968992248
kmeans,55.356386524,0.03322259136212625
kmeans,57.455341691,0.031007751937984496
kmeans,17.943712551,0.036544850498338874
kmeans,55.895586057,0.023255813953488372
kmeans,56.12488851,0.02768549280177187
kmeans,61.432948382,0.03433001107419712
kmeans,62.044784855,0.024363233665559248
kmeans,64.167252919,0.015503875968992248
kmeans,14.022303242,0.024363233665559248
kmeans,65.001558003,0.014396456256921373
kmeans,63.210597657,0.023255813953488372
kmeans,58.291541584,0.016611295681063124
kmeans,63.486040291,0.04318936877076412
kmeans,63.791546425,0.023255813953488372
kmeans,63.765385107,0.017718715393133997
kmeans,58.822149184,0.035437430786267994
kmeans,58.334703384,0.016611295681063124
kmeans,63.504378957,0.02547065337763012
kmeans,63.729052038,0.026578073089700997
kmeans,59.005863748,0.029900332225913623
kmeans,62.980296329,0.026578073089700997
kmeans,63.270519791,0.07198228128460686
kmeans,61.937615018,0.005537098560354375
kmeans,58.007375653,0.024363233665559248
kmeans,63.550675467,0.026578073089700997
kmeans,63.222383985,0.008859357696566999
kmeans,61.163639709,0.028792912513842746
kmeans,64.203461356,0.028792912513842746
kmeans,62.85442115,0.029900332225913623
kmeans,16.210394796,0.016611295681063124
kmeans,61.705686982,0.06201550387596899
kmeans,59.154721271,0.024363233665559248
kmeans,56.659059549,0.05094130675526024
kmeans,64.094388249,0.04318936877076412
kmeans,64.505708886,0.02768549280177187
kmeans,59.104734974,0.0753045404208195
kmeans,64.092408303,0.008859357696566999
kmeans,64.297200518,0.021040974529346623
kmeans,57.676026991,0.029900332225913623
kmeans,12.687282363,0.036544850498338874
svm,10.097013458,0.2236198462613557
svm,10.417654099,0.21884463079431632
svm,9.567945209,0.2104588865595155
svm,10.546304885,0.21325413463778245
svm,10.186928859,0.20999301187980432
svm,10.213845668,0.21663172606568834
svm,9.539421011,0.2104588865595155
svm,10.504487158,0.21919403680409968
svm,9.988472911,0.22396925227113906
svm,9.392459151,0.21511763335662706
svm,10.703277922,0.21861169345446074
